WAREHOUSE,ITEM ID,ITEM NAME,UNIT ID,QTY,PRICE,TOTAL
Gudang SAE,BU 110174,SEPATU KARET BENTAN,PSG,0.00,NaN,0
Gudang SAE,BU-110001,POLYBAG BESAR,KG,244.80,"25,101","6,144,665"
Gudang SAE,BU-110018,KEP RB16,UNIT,9.00,"650,000","5,850,000"
Gudang SAE,BU-110031,DODOS 4 INCH,BH,12.00,"91,000","1,092,000"
Gudang SAE,BU-110033,EGREK,PCS,1.00,"875,000","875,000"
Gudang SAE,BU-110038,ANGKONG/GROBAK SORONG STANDAR,UNIT,1.00,"644,810","644,810"
Gudang SAE,BU-110039,ANGKONG/GROBAK SORONG BESAR,PCS,1.00,"750,000","750,000"
Gudang SAE,BU-110041,BAN DALAM ANGKONG STANDAR,BH,1.00,"24,325","24,325"
Gudang SAE,BU-110045,GEROBAK FHR RODA STANDART,KLG,2.00,"555,000","1,110,000"
Gudang SAE,BU-110046,GAGANG CANGKUL,BH,1.00,"20,000","20,000"
Gudang SAE,BU-110048,GANCU,BH,19.00,"39,758","755,400"
Gudang SAE,BU-110051,KERANJANG PANEN,BH,0.00,NaN,0
Gudang SAE,BU-110052,TOJOK,BH,7.00,"65,000","455,000"
Gudang SAE,BU-110053,RODA ANGKONG BAN BESAR,PCS,2.00,"391,666","783,333"
Gudang SAE,BU-110054,RODA ANGKONG BAN KECIL,PCS,1.00,"241,667","241,667"
Gudang SAE,BU-110055,"SEGEL SINGLE LOCKING TYPE SEN 0,38",BH,"2,000.00","1,000","2,000,000"
Gudang SAE,BU-110056,BATU ASAH,PCS,0.00,NaN,0
Gudang SAE,BU-110061,KAOS KAKI BOLA,PCS,14.00,"15,000","210,000"
Gudang SAE,BU-110062,KARUNG BEKAS,PCS,80.00,"2,000","160,000"
Gudang SAE,BU-110063,MASKER,PCS,251.00,"1,500","376,500"
Gudang SAE,BU-110065,NASARI,ROLL,15.00,"353,716","5,305,744"
Gudang SAE,BU-110077,BEARING SKF 6208 LLU,PCS,10.00,"52,582","525,820"
